timestamp,hour,sin_hour,cos_hour,temperature_c,demand_mw,solar_wm2,wind_ms,grid_price_inr_kwh
2025-01-01 00:00,0,0.0,1.0,12.55,527.07,3.01,5.93,3.9918
2025-01-01 01:00,1,0.2588,0.9659,11.0,418.07,18.01,6.57,2.6388
2025-01-01 02:00,2,0.5,0.866,11.97,382.19,0.0,7.64,2.3349
2025-01-01 03:00,3,0.7071,0.7071,13.49,446.18,42.39,6.42,3.0055
2025-01-01 04:00,4,0.866,0.5,11.45,511.53,0.0,8.66,3.5439
2025-01-01 05:00,5,0.9659,0.2588,12.41,543.17,36.39,6.46,3.8995
2025-01-01 06:00,6,1.0,0.0,16.37,527.73,0.0,9.12,3.8672
2025-01-01 07:00,7,0.9659,-0.2588,16.6,440.31,245.06,2.55,3.9782
2025-01-01 08:00,8,0.866,-0.5,16.3,400.79,434.1,4.58,3.6313
2025-01-01 09:00,9,0.7071,-0.7071,19.37,449.2,609.69,12.43,3.377
2025-01-01 10:00,10,0.5,-0.866,19.3,506.87,749.98,5.88,4.2203
2025-01-01 11:00,11,0.2588,-0.9659,20.54,573.53,841.26,7.99,4.8675
2025-01-01 12:00,12,0.0,-1.0,22.56,500.68,841.78,0.97,4.9236
2025-01-01 13:00,13,-0.2588,-0.9659,19.93,447.35,846.91,7.88,4.3242
2025-01-01 14:00,14,-0.5,-0.866,20.41,421.51,709.01,6.02,4.021
2025-01-01 15:00,15,-0.7071,-0.7071,21.95,416.84,600.91,2.38,4.4317
2025-01-01 16:00,16,-0.866,-0.5,20.68,507.35,445.9,0.89,5.103
2025-01-01 17:00,17,-0.9659,-0.2588,21.71,567.13,244.87,3.02,5.6083
2025-01-01 18:00,18,-1.0,-0.0,18.64,529.86,11.52,8.65,4.8984
2025-01-01 19:00,19,-0.9659,0.2588,16.43,434.93,0.0,5.78,3.9282
2025-01-01 20:00,20,-0.866,0.5,19.2,388.98,22.42,8.73,3.6345
2025-01-01 21:00,21,-0.7071,0.7071,15.11,451.84,0.0,4.23,4.0468
2025-01-01 22:00,22,-0.5,0.866,14.1,530.25,43.79,9.14,3.4821
2025-01-01 23:00,23,-0.2588,0.9659,10.62,532.53,0.0,4.34,3.7304
2025-01-02 00:00,0,0.0,1.0,10.99,494.44,0.0,2.63,3.74
2025-01-02 01:00,1,0.2588,0.9659,11.37,440.88,0.0,2.23,3.0521
2025-01-02 02:00,2,0.5,0.866,10.0,409.44,1.09,12.4,2.1446
2025-01-02 03:00,3,0.7071,0.7071,11.77,433.01,3.5,3.51,3.3858
2025-01-02 04:00,4,0.866,0.5,10.9,522.69,49.24,2.3,4.1789
2025-01-02 05:00,5,0.9659,0.2588,12.32,539.35,0.0,0.51,4.4218
2025-01-02 06:00,6,1.0,0.0,13.1,480.78,0.99,3.19,3.9387
2025-01-02 07:00,7,0.9659,-0.2588,18.23,431.14,193.51,8.16,3.4711
2025-01-02 08:00,8,0.866,-0.5,16.98,400.95,412.68,4.81,3.6995
2025-01-02 09:00,9,0.7071,-0.7071,16.97,433.36,643.14,5.5,3.8455
2025-01-02 10:00,10,0.5,-0.866,21.23,495.12,707.71,8.79,3.9048
2025-01-02 11:00,11,0.2588,-0.9659,19.41,522.77,835.71,4.66,4.7089
2025-01-02 12:00,12,0.0,-1.0,22.51,504.79,859.82,7.42,4.3572
2025-01-02 13:00,13,-0.2588,-0.9659,19.86,450.96,820.43,3.44,4.2118
2025-01-02 14:00,14,-0.5,-0.866,21.01,418.84,749.11,10.69,3.7659
2025-01-02 15:00,15,-0.7071,-0.7071,23.09,455.32,572.04,1.58,5.1928
2025-01-02 16:00,16,-0.866,-0.5,23.3,500.26,466.41,6.25,5.0333
2025-01-02 17:00,17,-0.9659,-0.2588,21.5,532.69,268.12,5.72,5.2512
2025-01-02 18:00,18,-1.0,-0.0,19.83,519.95,1.18,2.54,5.4462
2025-01-02 19:00,19,-0.9659,0.2588,18.1,447.03,60.58,3.86,4.5414
2025-01-02 20:00,20,-0.866,0.5,14.78,406.0,0.0,3.37,3.863
2025-01-02 21:00,21,-0.7071,0.7071,14.37,407.29,10.01,1.73,3.9066
2025-01-02 22:00,22,-0.5,0.866,13.31,499.5,35.8,5.16,3.7061
2025-01-02 23:00,23,-0.2588,0.9659,14.34,549.55,0.0,12.37,3.6943
2025-01-03 00:00,0,0.0,1.0,12.32,519.81,0.0,4.98,3.8638
2025-01-03 01:00,1,0.2588,0.9659,10.0,449.01,0.0,4.88,3.1806
2025-01-03 02:00,2,0.5,0.866,11.49,402.16,51.52,1.12,3.1917
2025-01-03 03:00,3,0.7071,0.7071,10.63,442.46,0.0,2.13,3.3602
2025-01-03 04:00,4,0.866,0.5,10.79,513.77,0.0,4.67,3.867
2025-01-03 05:00,5,0.9659,0.2588,13.67,560.28,0.0,11.29,3.2862
2025-01-03 06:00,6,1.0,0.0,15.55,517.19,23.71,7.96,4.1408
2025-01-03 07:00,7,0.9659,-0.2588,16.84,438.49,200.46,3.55,4.2686
2025-01-03 08:00,8,0.866,-0.5,15.74,395.97,412.72,4.87,3.2822
2025-01-03 09:00,9,0.7071,-0.7071,18.09,438.72,608.53,4.93,3.6545
2025-01-03 10:00,10,0.5,-0.866,20.5,519.77,709.52,5.91,4.7208
2025-01-03 11:00,11,0.2588,-0.9659,22.71,554.01,816.57,5.93,4.665
2025-01-03 12:00,12,0.0,-1.0,21.48,518.21,885.06,6.87,4.3831
2025-01-03 13:00,13,-0.2588,-0.9659,22.52,457.64,831.74,0.87,4.8001
2025-01-03 14:00,14,-0.5,-0.866,21.34,403.98,739.39,9.33,3.6744
2025-01-03 15:00,15,-0.7071,-0.7071,21.0,427.77,606.41,1.48,4.837
2025-01-03 16:00,16,-0.866,-0.5,23.41,525.75,415.27,4.42,5.1762
2025-01-03 17:00,17,-0.9659,-0.2588,23.28,529.51,269.9,8.73,5.1251
2025-01-03 18:00,18,-1.0,-0.0,19.89,496.28,0.0,4.5,5.1393
2025-01-03 19:00,19,-0.9659,0.2588,20.06,442.54,5.27,1.41,5.1138
2025-01-03 20:00,20,-0.866,0.5,17.54,407.75,2.88,2.81,4.3346
2025-01-03 21:00,21,-0.7071,0.7071,14.48,418.82,25.22,5.11,3.4846
2025-01-03 22:00,22,-0.5,0.866,14.54,506.76,27.58,1.67,3.9762
2025-01-03 23:00,23,-0.2588,0.9659,15.06,540.91,0.0,4.08,4.3415
2025-01-04 00:00,0,0.0,1.0,11.75,505.2,7.27,3.47,3.539
2025-01-04 01:00,1,0.2588,0.9659,13.55,451.65,8.21,7.15,3.0247
2025-01-04 02:00,2,0.5,0.866,10.0,410.6,0.0,1.88,2.7937
2025-01-04 03:00,3,0.7071,0.7071,12.44,437.21,0.0,5.89,3.1957
2025-01-04 04:00,4,0.866,0.5,11.93,504.31,0.0,3.97,3.5633
2025-01-04 05:00,5,0.9659,0.2588,12.31,529.76,0.0,5.18,3.9144
2025-01-04 06:00,6,1.0,0.0,14.14,533.8,0.0,2.64,4.4128
2025-01-04 07:00,7,0.9659,-0.2588,12.47,446.38,238.74,5.33,3.5219
2025-01-04 08:00,8,0.866,-0.5,16.67,389.4,425.05,5.82,3.4673
2025-01-04 09:00,9,0.7071,-0.7071,19.09,448.29,595.67,1.48,4.1468
